warehouse_id,name,location
1,Warehouse Juanfort,"Stephenborough, NB"
2,Warehouse Port Jeremyport,"Turnerhaven, NS"
3,Warehouse Schroedermouth,"Silvatown, ON"
4,Warehouse Jessicaland,"Annaport, NT"
5,Warehouse South Jason,"Gabriellefort, ON"
6,Warehouse Figueroahaven,"West Vanessamouth, MB"
7,Warehouse Lorihaven,"Joseport, PE"
8,Warehouse North Larry,"East Zachary, ON"
9,Warehouse Taylorhaven,"North Linda, NL"
10,Warehouse East Jamesborough,"Guerreroberg, BC"
11,Warehouse East Antonioton,"Lake Tylerport, MB"
12,Warehouse Janetview,"Rebeccafurt, ON"
13,Warehouse Madisonhaven,"Doyleshire, MB"
14,Warehouse Reidville,"West Jessica, AB"
15,Warehouse East Nathanmouth,"Lake Amanda, AB"
16,Warehouse Port Thomas,"Knoxstad, SK"
17,Warehouse Maxview,"Meganside, ON"
18,Warehouse West Anthonyton,"West Connor, NU"
19,Warehouse Port Ashley,"Lake Jonathan, NT"
20,Warehouse Port Jeffrey,"Lake Rachel, MB"
21,Warehouse Lake Jamie,"East Michaelport, NL"
22,Warehouse Palmertown,"Frenchmouth, NL"
23,Warehouse Buckburgh,"Jorgeport, NL"
24,Warehouse East Johnnyport,"Yorkfort, PE"
25,Warehouse Rodneyfurt,"Port Cynthiashire, PE"
